Customer_ID,Account_Balance,Transaction_Amount,Reported_Amount,Currency,Country,Transaction_Date,Risk_Score
1064,18206,35645,35645,JPY,CA,14-03-2025,1
1065,139100,14696,14696,USD,DE,01-03-2025,1
1066,-10000,1000,1000,GBP,DE,09-03-2025,4
1067,-10000,1000,1000,INR,JP,11-03-2025,4
1068,56321,28638,28638,USD,US,14-03-2025,3
1069,8996,17805,17805,USD,IN,25-02-2025,1
1070,37245,11156,11156,EUR,US,06-03-2025,1
1071,40594,46323,43129,GBP,JP,04-03-2025,3
1072,46620,31214,31214,EUR,US,12-03-2025,1
1073,-10000,1000,1000,JPY,DE,20-02-2025,4
1074,3916,9351,9351,USD,DE,05-03-2025,1
1075,71161,3669,3669,EUR,AU,20-03-2025,1
1076,11014,27020,27020,AUD,AU,04-03-2025,1
1077,25954,40425,40425,USD,IN,26-02-2025,1
1078,9316,32497,32497,AUD,US,11-03-2025,1
1079,46884,20733,20733,JPY,UK,27-02-2025,1
1080,27527,26441,26441,JPY,JP,20-03-2025,3
1081,87175,44012,44012,GBP,DE,20-03-2025,1
1082,1056,13805,13805,AUD,DE,25-02-2025,1
1083,-10000,1000,1000,CAD,JP,04-03-2025,4
1084,-10000,1000,1000,JPY,UK,13-03-2025,4
1085,69795,40370,40370,CAD,UK,28-02-2025,1
1086,-10000,1000,1000,GBP,IN,06-03-2025,4
1087,-10000,1000,913,JPY,JP,23-02-2025,6
1088,56027,20722,19491,JPY,AU,05-03-2025,3
1089,93016,18987,18987,CAD,UK,12-03-2025,1
1090,105284,26199,26199,CAD,DE,28-02-2025,1
1091,24238,35062,32308,AUD,DE,05-03-2025,3
1092,-10000,1000,1000,GBP,US,23-02-2025,4
1093,22006,5720,5720,USD,JP,16-03-2025,1
1094,72497,28565,28565,CAD,JP,21-03-2025,1
1095,-8699,869,814,INR,DE,09-03-2025,6
1096,8685,19954,19954,EUR,CA,16-03-2025,1
1097,40187,10087,9559,CAD,IN,24-02-2025,3
1098,71674,40775,40775,JPY,DE,03-03-2025,1
1099,-5582,558,558,USD,CA,16-03-2025,4
1100,67610,25412,25412,CAD,IN,03-03-2025,1
1101,54581,31036,31036,INR,CA,10-03-2025,1
1102,20086,24825,24825,CAD,US,21-02-2025,1
1103,56883,42284,42284,CAD,DE,24-02-2025,1
1104,65292,26812,26812,JPY,JP,28-02-2025,1
1105,88415,48636,48636,GBP,CA,11-03-2025,1
1106,83347,20093,20093,USD,UK,28-02-2025,1
1107,-10000,1000,1000,CAD,US,15-03-2025,4
1108,46419,41469,38154,CAD,DE,28-02-2025,3
1109,27828,817,817,INR,AU,16-03-2025,1
1110,42481,34222,34222,CAD,AU,20-02-2025,1
1111,31001,43159,39723,INR,JP,07-03-2025,3
1112,35123,3836,3836,INR,JP,16-03-2025,1
1113,28883,5571,5571,USD,CA,13-03-2025,1
1114,7059,13957,13957,AUD,AU,27-02-2025,1
1115,38020,19493,19493,CAD,JP,26-02-2025,1
1116,62246,12542,12542,USD,UK,04-03-2025,1
1117,27527,28693,28693,GBP,JP,19-03-2025,3
1118,10872,26994,26994,USD,UK,20-03-2025,1
1119,36945,23631,23631,USD,DE,09-03-2025,1
1120,42755,42317,42317,EUR,CA,21-02-2025,1
1121,4750,34410,34410,GBP,IN,11-03-2025,1
1122,14954,9793,9793,GBP,US,17-03-2025,1
1123,-10000,1000,925,INR,US,26-02-2025,6
1124,41258,2450,2450,JPY,DE,20-02-2025,1
1125,17650,48711,48711,INR,DE,20-02-2025,1
1126,78503,22640,21477,GBP,JP,17-03-2025,3
1127,48113,4443,4443,AUD,JP,10-03-2025,1
1128,54100,9193,9193,GBP,DE,20-03-2025,1
1129,35147,47080,47080,JPY,US,04-03-2025,1
1130,60982,36485,36485,JPY,DE,12-03-2025,1
1131,-10000,1000,1000,JPY,CA,04-03-2025,4
1132,28842,40932,40932,CAD,JP,20-02-2025,1
1133,18374,32110,32110,JPY,DE,18-03-2025,1
1134,70404,3438,3438,INR,JP,24-02-2025,1
1135,-10000,1000,1000,USD,US,01-03-2025,4
1136,37568,27775,27775,CAD,CA,28-02-2025,1
1137,75565,3189,3189,INR,AU,21-02-2025,1
1138,26258,27926,27926,CAD,CA,15-03-2025,1
1139,26064,16781,16781,JPY,CA,26-02-2025,1
1140,39664,37906,34819,INR,CA,01-03-2025,3
1141,22092,45777,45777,INR,IN,19-03-2025,1
1142,44196,16119,16119,INR,CA,17-03-2025,1
1143,27527,14223,14223,JPY,US,21-03-2025,3
1144,41286,36138,36138,JPY,AU,15-03-2025,1
1145,28956,20537,20537,JPY,UK,10-03-2025,1
1146,58049,3418,3418,EUR,JP,26-02-2025,1
1147,84276,6614,6614,AUD,DE,28-02-2025,1
1148,6653,45727,45727,USD,DE,06-03-2025,1
1149,97581,47291,47291,CAD,JP,28-02-2025,1
1150,9117,46876,42999,GBP,UK,25-02-2025,3
1151,43141,8997,8997,EUR,JP,15-03-2025,1
1152,41414,22400,22400,EUR,DE,14-03-2025,1
1153,43498,34430,34430,EUR,IN,07-03-2025,1
1154,-10000,1000,1000,CAD,UK,16-03-2025,4
1155,-10000,1000,1000,EUR,DE,17-03-2025,4
1156,15473,19720,19720,INR,CA,27-02-2025,1
1157,6121,372,372,CAD,CA,06-03-2025,1
1158,47959,11170,11170,CAD,US,02-03-2025,1
1159,72159,26741,26741,EUR,CA,10-03-2025,1
1160,-10000,1000,919,USD,UK,12-03-2025,6
1161,-10000,1000,915,JPY,JP,10-03-2025,6
1162,10144,3842,3842,GBP,CA,01-03-2025,1
1163,-10000,1000,1000,CAD,US,28-02-2025,4
1164,17086,47535,44918,AUD,AU,25-02-2025,3
1165,-1674,167,167,USD,AU,10-03-2025,4
1166,46426,12836,12184,EUR,IN,20-03-2025,3
1167,125860,15662,15662,JPY,IN,20-02-2025,1
1168,-1616,161,161,CAD,JP,15-03-2025,4
1169,73708,35186,35186,EUR,CA,17-03-2025,1
1170,123004,3755,3755,GBP,AU,24-02-2025,1
1171,4939,10648,10648,EUR,AU,04-03-2025,1
1172,105950,20388,20388,INR,CA,22-02-2025,1
1173,-2454,245,245,AUD,CA,04-03-2025,4
1174,72974,35414,35414,CAD,JP,22-02-2025,1
1175,124,39312,39312,INR,US,06-03-2025,1
1176,-10000,1000,1000,CAD,DE,20-03-2025,4
1177,65735,6646,6646,EUR,CA,14-03-2025,1
1178,47191,40458,40458,JPY,UK,03-03-2025,1
1179,25668,40434,36935,AUD,UK,16-03-2025,3
1180,-10000,1000,1000,CAD,US,27-02-2025,4
1181,75451,9126,9126,GBP,JP,28-02-2025,1
1182,67214,31969,31969,EUR,JP,09-03-2025,1
1183,-10000,1000,1000,GBP,DE,22-02-2025,4
1184,36332,100,100,EUR,IN,15-03-2025,1
1185,47875,5369,4857,AUD,CA,02-03-2025,3
1186,-10000,1000,921,GBP,IN,26-02-2025,6
1187,64049,37476,33870,EUR,US,21-02-2025,3
1188,117410,32084,30377,INR,CA,22-02-2025,3
1189,66600,11529,11529,CAD,US,17-03-2025,1
1190,90788,46176,46176,EUR,IN,05-03-2025,1
1191,60368,9528,9528,INR,CA,23-02-2025,1
1192,-10000,1000,1000,JPY,AU,18-03-2025,4
1193,58089,22109,22109,EUR,DE,20-02-2025,1
1194,-10000,1000,1000,GBP,DE,21-03-2025,4
1195,9332,40483,40483,JPY,US,20-02-2025,1
1196,18627,173,173,INR,UK,20-02-2025,1
1197,14574,3303,3303,CAD,UK,16-03-2025,1
1198,-979,97,97,JPY,IN,16-03-2025,4
1199,18261,47309,44173,EUR,JP,19-03-2025,3
1200,22895,42332,42332,USD,CA,12-03-2025,1
1201,73232,3078,3078,CAD,JP,28-02-2025,1
1202,42517,40007,36471,EUR,UK,11-03-2025,3
1203,62684,22475,22475,INR,DE,27-02-2025,1
1204,18857,147,147,JPY,IN,08-03-2025,1
1205,61720,44995,44995,USD,CA,18-03-2025,1
1206,-10000,1000,943,AUD,CA,15-03-2025,6
1207,-10000,1000,949,CAD,CA,24-02-2025,6
1208,63231,18112,18112,AUD,US,12-03-2025,1
1209,5995,26676,24109,AUD,CA,21-03-2025,3
1210,31042,30804,30804,GBP,JP,21-02-2025,1
1211,-10000,1000,945,JPY,UK,13-03-2025,6
1212,13566,28468,28468,JPY,CA,12-03-2025,1
1213,-10000,1000,947,EUR,JP,19-03-2025,6
1214,2933,27527,27527,GBP,AU,22-02-2025,1
1215,31568,15372,15372,USD,DE,28-02-2025,1
1216,30830,49842,49842,JPY,DE,13-03-2025,1
1217,18545,44465,44465,EUR,JP,04-03-2025,1
1218,59428,14275,14275,EUR,DE,19-03-2025,1
1219,11499,43675,43675,USD,US,15-03-2025,1
1220,17775,2363,2209,GBP,US,06-03-2025,3
1221,-10000,1000,1000,GBP,UK,12-03-2025,4
1222,70504,39956,39956,EUR,IN,15-03-2025,1
1223,-1821,182,170,GBP,DE,15-03-2025,6
1224,-10000,1000,945,GBP,AU,25-02-2025,6
1225,-10000,1000,916,EUR,IN,17-03-2025,6
1226,34195,31448,31448,JPY,CA,24-02-2025,1
1227,23777,1681,1681,JPY,JP,20-02-2025,1
1228,19202,35420,35420,AUD,CA,11-03-2025,1
1229,63038,40530,40530,GBP,UK,15-03-2025,1
1230,-7931,793,793,EUR,DE,15-03-2025,4
1231,44841,32490,32490,JPY,AU,24-02-2025,1
1232,30555,26746,26746,AUD,US,25-02-2025,1
1233,41731,5144,5144,AUD,JP,27-02-2025,1
1234,31234,34162,34162,JPY,CA,18-03-2025,1
1235,429,22288,22288,AUD,CA,28-02-2025,1
1236,27527,49374,49374,EUR,US,10-03-2025,3
1237,56172,49571,49571,USD,JP,28-02-2025,1
1238,26869,3402,3402,CAD,AU,20-03-2025,1
1239,31540,23484,23484,AUD,AU,22-02-2025,1
1240,26097,38755,38755,CAD,CA,20-02-2025,1
1241,-10000,1000,1000,GBP,US,02-03-2025,4
1242,35269,1381,1381,CAD,AU,14-03-2025,1
1243,28248,35346,35346,GBP,US,28-02-2025,3
1244,24613,37027,34752,AUD,UK,10-03-2025,3
1245,88445,10,10,JPY,UK,21-03-2025,1
1246,31530,39543,39543,EUR,DE,07-03-2025,1
1247,22732,43803,43803,INR,US,14-03-2025,1
1248,21753,11838,11191,CAD,IN,15-03-2025,3
1249,-10000,1000,1000,CAD,JP,27-02-2025,4
1250,32157,45156,45156,AUD,AU,16-03-2025,1
1251,36834,29149,29149,CAD,DE,17-03-2025,1
1252,3532,1261,1261,INR,CA,08-03-2025,1
1253,53727,9198,9198,CAD,UK,28-02-2025,1
1254,44551,32427,32427,EUR,JP,21-03-2025,1
1255,23085,10327,9316,EUR,JP,21-03-2025,3
1256,56767,46543,46543,USD,AU,21-02-2025,1
1257,13439,45860,45860,CAD,CA,11-03-2025,1
1258,55660,18450,17007,INR,UK,03-03-2025,3
1259,9727,12607,12607,CAD,DE,17-03-2025,1
1260,83594,9870,8973,EUR,IN,08-03-2025,3
1261,6314,20692,19113,EUR,IN,07-03-2025,3
1262,21564,18956,17577,GBP,UK,13-03-2025,3
1263,-3730,373,373,INR,JP,17-03-2025,4
1264,46781,13207,11909,EUR,UK,19-03-2025,3
1265,-10000,1000,1000,INR,JP,21-02-2025,4
1266,22988,21505,21505,EUR,US,01-03-2025,1
1267,-10000,1000,1000,AUD,CA,08-03-2025,4
1268,46348,9658,9658,CAD,AU,11-03-2025,1
1269,48256,1399,1399,INR,DE,22-02-2025,1
1270,27527,37011,37011,CAD,US,09-03-2025,3
1271,8268,42496,42496,USD,JP,20-03-2025,1
1272,51956,2438,2194,USD,US,06-03-2025,6
1273,-6460,646,646,USD,AU,16-03-2025,4
1274,628,23238,23238,JPY,DE,11-03-2025,1
1275,51828,35887,35887,CAD,CA,23-02-2025,1
1276,46618,45811,45811,EUR,IN,08-03-2025,1
1277,46765,43694,43694,CAD,US,12-03-2025,1
1278,27527,15358,14464,GBP,JP,15-03-2025,5
1279,33274,34278,34278,CAD,US,23-02-2025,1
1280,12899,49743,49743,JPY,JP,21-03-2025,1
1281,22104,14865,14865,INR,IN,27-02-2025,1
1282,-10000,1000,936,EUR,DE,23-02-2025,6
1283,40980,42062,42062,EUR,US,14-03-2025,1
1284,77624,33056,33056,CAD,JP,20-03-2025,1
1285,14787,15470,15470,JPY,CA,19-03-2025,1
1286,73963,26531,26531,CAD,IN,10-03-2025,1
1287,-7435,743,743,EUR,AU,19-03-2025,4
1288,-570,57,53,EUR,UK,05-03-2025,6
1289,-708,70,70,INR,AU,20-02-2025,4
1290,-10000,1000,949,GBP,UK,25-02-2025,6
1291,79225,2946,2946,INR,US,14-03-2025,1
1292,27527,30786,30786,AUD,AU,03-03-2025,3
1293,49349,25032,25032,JPY,AU,01-03-2025,1
1294,1324,15922,15922,EUR,AU,18-03-2025,1
1295,55618,39900,39900,CAD,IN,11-03-2025,1
1296,9054,16725,16725,EUR,AU,12-03-2025,3
1297,10697,30764,30764,GBP,US,25-02-2025,1
1298,65459,46313,46313,GBP,JP,17-03-2025,1
1299,-3029,302,302,USD,JP,23-02-2025,4
1300,-8458,845,845,CAD,UK,22-02-2025,4
1301,-10000,1000,1000,GBP,JP,20-03-2025,4
1302,21955,10026,10026,INR,AU,20-02-2025,1
1303,100790,34494,34494,AUD,JP,11-03-2025,1
1304,17899,39949,39949,EUR,US,10-03-2025,3
1305,-10000,1000,1000,INR,UK,07-03-2025,4
1306,4865,10,10,INR,DE,05-03-2025,1
1307,10572,47391,47391,INR,CA,01-03-2025,1
1308,28860,29572,29572,INR,JP,17-03-2025,1
1309,40139,39376,39376,INR,UK,03-03-2025,1
1310,-10000,1000,1000,INR,CA,17-03-2025,4
1311,-10000,1000,1000,EUR,AU,14-03-2025,4
1312,-10000,1000,1000,INR,DE,03-03-2025,4
1313,63574,19540,19540,JPY,DE,10-03-2025,1
1314,-9040,904,904,INR,AU,18-03-2025,4
1315,37158,43200,43200,USD,UK,22-02-2025,1
1316,43806,17176,17176,AUD,US,08-03-2025,1
1317,9158,21840,21840,INR,UK,06-03-2025,1
1318,-10000,1000,1000,USD,DE,19-03-2025,4
1319,69022,9036,9036,EUR,DE,16-03-2025,1
1320,73944,42788,42788,JPY,DE,27-02-2025,1
1321,26439,10343,10343,CAD,AU,27-02-2025,1
1322,2777,13241,13241,EUR,UK,20-03-2025,1
1323,91264,30662,30662,EUR,CA,27-02-2025,1
1324,1650,38425,38425,INR,JP,21-03-2025,1
1325,55557,29335,26435,USD,DE,12-03-2025,3
1326,-10000,1000,1000,JPY,UK,24-02-2025,4
1327,43553,14943,14943,INR,US,09-03-2025,1
1328,-10000,1000,1000,CAD,JP,20-03-2025,4
1329,40695,30621,30621,USD,IN,23-02-2025,1
1330,27306,39699,37560,AUD,US,21-02-2025,3
1331,14108,31299,31299,INR,JP,20-02-2025,1
1332,13111,21286,21286,CAD,AU,21-02-2025,1
1333,65858,12941,12941,EUR,US,04-03-2025,1
1334,24135,46568,46568,USD,IN,26-02-2025,1
1335,41281,5335,5335,AUD,DE,19-03-2025,1
1336,128818,7566,7566,GBP,US,17-03-2025,1
1337,-10000,1000,1000,INR,US,18-03-2025,4
1338,-327,32,28,EUR,CA,17-03-2025,9
1339,-10000,1000,1000,USD,AU,15-03-2025,4
1340,-10000,1000,1000,EUR,AU,07-03-2025,4
1341,95201,1557,1557,INR,JP,08-03-2025,1
1342,12216,39272,35584,AUD,AU,13-03-2025,3
1343,-10000,1000,1000,CAD,UK,08-03-2025,4
1344,17087,26601,26601,INR,JP,04-03-2025,1
1345,9543,852,852,INR,UK,14-03-2025,1
1346,-10000,1000,1000,JPY,IN,10-03-2025,4
1347,11430,20299,20299,CAD,JP,12-03-2025,1
1348,32804,15690,15690,CAD,AU,28-02-2025,1
1349,12537,46690,46690,CAD,US,15-03-2025,3
1350,57593,29522,29522,JPY,IN,26-02-2025,1
1351,24980,32823,32823,INR,JP,13-03-2025,1
1352,27657,12646,12646,AUD,DE,28-02-2025,1
1353,20311,6172,6172,JPY,IN,27-02-2025,1
1354,-10000,1000,1000,AUD,CA,20-03-2025,4
1355,-10000,1000,1000,CAD,DE,06-03-2025,4
1356,31486,47526,47526,EUR,JP,10-03-2025,1
1357,110,7806,7806,USD,JP,05-03-2025,1
1358,48519,21791,21791,JPY,JP,18-03-2025,1
1359,15214,36545,36545,JPY,UK,05-03-2025,1
1360,-412,41,41,AUD,IN,25-02-2025,4
1361,36420,16870,16870,AUD,IN,21-02-2025,1
1362,28150,46624,46624,JPY,AU,20-02-2025,1
1363,-10000,1000,1000,JPY,DE,18-03-2025,4
1364,-10000,1000,1000,USD,AU,21-03-2025,4
1365,47570,32456,29510,GBP,AU,21-03-2025,3
1366,669,19295,19295,USD,DE,23-02-2025,1
1367,32597,29615,29615,EUR,AU,08-03-2025,1
1368,35475,27282,27282,JPY,DE,18-03-2025,1
1369,70133,39902,39902,CAD,IN,19-03-2025,1
1370,86063,7789,7789,GBP,AU,21-03-2025,1
1371,-10000,1000,919,INR,DE,03-03-2025,6
1372,21850,5625,5625,INR,US,26-02-2025,1
1373,22767,10,10,GBP,AU,04-03-2025,1
1374,81403,28807,28807,EUR,JP,28-02-2025,1
1375,-10000,1000,1000,GBP,AU,10-03-2025,4
1376,78424,11078,11078,INR,DE,18-03-2025,1
1377,47262,4643,4643,JPY,US,20-03-2025,1
1378,7567,41087,41087,INR,DE,08-03-2025,1
1379,58316,44505,44505,CAD,CA,20-03-2025,1
1380,13794,7407,7407,USD,AU,23-02-2025,1
1381,-10000,1000,1000,USD,JP,26-02-2025,4
1382,31496,45068,45068,INR,US,12-03-2025,1
1383,17742,25078,25078,INR,JP,21-03-2025,1
1384,9846,27821,27821,JPY,AU,24-02-2025,1
1385,-1047,104,96,JPY,CA,23-02-2025,6
1386,49147,36740,36740,USD,UK,09-03-2025,1
1387,26645,30202,30202,CAD,AU,26-02-2025,1
1388,10203,27621,27621,AUD,JP,22-02-2025,1
1389,5520,2000,2000,CAD,IN,20-03-2025,1
1390,10756,48227,48227,CAD,JP,20-02-2025,1
1391,6379,17738,17738,EUR,UK,17-03-2025,1
1392,12663,24178,24178,CAD,DE,20-03-2025,1
1393,53118,10102,10102,AUD,CA,21-03-2025,1
1394,13918,18034,18034,INR,IN,22-02-2025,1
1395,32652,37723,37723,JPY,AU,02-03-2025,1
1396,13442,48129,48129,CAD,UK,09-03-2025,1
1397,-10000,1000,922,INR,JP,04-03-2025,6
1398,34976,39321,39321,USD,UK,14-03-2025,1
1399,1609,49720,49720,USD,DE,21-03-2025,1
1400,50991,24700,24700,AUD,IN,13-03-2025,1
1401,86258,46950,43281,GBP,US,16-03-2025,3
1402,3571,40734,40734,USD,UK,03-03-2025,1
1403,59492,3474,3202,INR,CA,14-03-2025,3
1404,12467,38886,35819,JPY,CA,14-03-2025,3
1405,16198,20181,18773,USD,AU,03-03-2025,3
1406,40665,8465,8465,USD,AU,26-02-2025,1
1407,-10000,1000,1000,EUR,UK,05-03-2025,4
1408,-10000,1000,1000,USD,CA,25-02-2025,4
1409,29227,22712,22712,JPY,CA,21-02-2025,1
1410,-10000,1000,905,CAD,JP,03-03-2025,6
1411,65919,46809,46809,EUR,IN,24-02-2025,1
1412,74835,12662,12662,USD,US,24-02-2025,1
1413,39801,27202,27202,JPY,UK,15-03-2025,1
1414,22511,47464,47464,INR,US,14-03-2025,1
1415,66765,22961,22961,EUR,US,03-03-2025,1
1416,27527,29436,29436,USD,DE,20-03-2025,3
1417,13719,16043,14506,INR,JP,01-03-2025,3
1418,22277,22925,22925,INR,CA,14-03-2025,1
1419,-2362,236,236,CAD,US,08-03-2025,4
1420,73283,32003,32003,INR,JP,20-03-2025,1
1421,72177,10,10,INR,DE,01-03-2025,1
1422,-6410,641,641,AUD,US,04-03-2025,4
1423,415,11955,11955,EUR,JP,06-03-2025,1
1424,14709,21615,21615,INR,CA,22-02-2025,1
1425,70089,30154,27860,GBP,IN,14-03-2025,3
1426,14524,3899,3899,JPY,JP,04-03-2025,1
1427,32790,48771,48771,INR,IN,15-03-2025,1
1428,-10000,1000,1000,INR,DE,12-03-2025,4
1429,81507,21345,21345,AUD,DE,03-03-2025,1
1430,-10000,1000,1000,GBP,AU,20-02-2025,4
1431,12487,18262,18262,CAD,IN,12-03-2025,1
1432,-10000,1000,1000,JPY,UK,06-03-2025,4
1433,71264,12435,12435,AUD,US,01-03-2025,1
1434,27527,23331,23331,AUD,US,21-02-2025,3
1435,90670,28551,28551,INR,IN,09-03-2025,1
1436,-7837,783,783,INR,US,17-03-2025,4
1437,64635,7402,7402,CAD,DE,02-03-2025,1
1438,41223,19812,19812,INR,AU,28-02-2025,1
1439,-1141,114,114,GBP,AU,05-03-2025,4
1440,3644,21190,21190,AUD,UK,23-02-2025,1
1441,46732,2499,2316,JPY,IN,11-03-2025,3
1442,25818,47676,47676,USD,DE,13-03-2025,3
1443,2744,15625,15625,JPY,DE,21-03-2025,1
1444,89586,21336,21336,GBP,CA,09-03-2025,1
1445,28762,42167,42167,CAD,CA,21-03-2025,1
1446,13788,40787,40787,JPY,IN,15-03-2025,1
1447,-10000,1000,1000,AUD,IN,16-03-2025,4
1448,8600,9773,9773,CAD,CA,09-03-2025,1
1449,-10000,1000,1000,CAD,JP,28-02-2025,4
1450,27249,23135,21185,AUD,DE,08-03-2025,3
1451,53354,4584,4584,INR,US,14-03-2025,1
1452,78411,40432,40432,GBP,AU,19-03-2025,1
1453,12273,9931,9931,GBP,UK,17-03-2025,1
1454,44291,26298,26298,USD,JP,06-03-2025,1
1455,14819,36815,36815,JPY,DE,10-03-2025,1
1456,-10000,1000,1000,EUR,CA,14-03-2025,4
1457,-10000,1000,1000,JPY,IN,21-02-2025,4
1458,23279,4559,4287,CAD,AU,02-03-2025,3
1459,-10000,1000,905,JPY,UK,20-02-2025,6
1460,18062,45059,45059,INR,UK,27-02-2025,1
1461,11889,4608,4608,USD,DE,18-03-2025,1
1462,-10000,1000,1000,CAD,US,25-02-2025,4
1463,-10000,1000,1000,CAD,UK,05-03-2025,4
1464,860,17606,17606,CAD,DE,27-02-2025,1
1465,79560,25905,25905,USD,CA,24-02-2025,1
1466,36037,21518,21518,USD,UK,25-02-2025,1
1467,478,40727,40727,JPY,US,17-03-2025,1
1468,-2058,205,205,AUD,JP,12-03-2025,4
1469,38971,17103,17103,USD,CA,18-03-2025,1
1470,29644,30037,30037,AUD,DE,25-02-2025,1
1471,50461,20940,20940,CAD,DE,15-03-2025,1
1472,89422,36472,33881,CAD,JP,20-03-2025,3
1473,65993,6395,6395,EUR,CA,13-03-2025,1
1474,65184,38048,38048,CAD,AU,01-03-2025,1
1475,22160,36298,36298,GBP,AU,03-03-2025,1
1476,-10000,1000,1000,EUR,IN,15-03-2025,4
1477,-10000,1000,1000,EUR,DE,20-03-2025,4
1478,43137,30294,30294,USD,AU,25-02-2025,1
1479,5755,4527,4527,USD,IN,24-02-2025,1
1480,84359,25239,25239,EUR,DE,23-02-2025,1
1481,78026,33692,33692,EUR,CA,21-03-2025,1
1482,30079,43154,43154,EUR,CA,12-03-2025,1
1483,8443,33578,33578,EUR,CA,01-03-2025,1
1484,-6889,688,619,EUR,AU,25-02-2025,9
1485,83298,38838,38838,JPY,UK,01-03-2025,1
1486,31671,42794,42794,EUR,US,27-02-2025,1
1487,652,3597,3597,GBP,UK,20-02-2025,1
1488,22543,41307,41307,USD,DE,04-03-2025,1
1489,17315,5154,5154,GBP,CA,16-03-2025,1
1490,90128,18668,18668,INR,IN,05-03-2025,1
1491,33317,2303,2303,USD,IN,20-02-2025,1
1492,27762,37232,37232,CAD,JP,08-03-2025,1
1493,-10000,1000,1000,GBP,JP,05-03-2025,4
1494,43709,20379,20379,EUR,AU,07-03-2025,1
1495,28715,38785,38785,EUR,CA,14-03-2025,1
1496,46086,934,934,USD,JP,05-03-2025,1
1497,29068,33522,31708,JPY,AU,01-03-2025,3
1498,14822,11608,10898,EUR,US,03-03-2025,3
1499,28949,35025,35025,GBP,AU,17-03-2025,1
1500,-404,40,40,USD,JP,03-03-2025,4
1501,32683,43650,43650,JPY,IN,21-02-2025,1
1502,73266,41185,41185,AUD,AU,16-03-2025,1
1503,58658,46962,46962,EUR,CA,21-03-2025,1
